blendRateL,0,blendRateR,0
blendRateL,0,blendRateR,0
blendRateL,0,blendRateR,0
1,Left,0.7577323,0.158659,0.4109308,Right,0.8006856,0.1694937,0.1205056
2,Left,0.7577603,0.1589184,0.4108644,Right,0.8006941,0.1695178,0.1203871
3,Left,0.7577653,0.1591735,0.4109968,Right,0.8007503,0.1698859,0.1205328
4,Left,0.7577229,0.1587942,0.4110789,Right,0.8006212,0.1694176,0.1204584
5,Left,0.7576424,0.1591332,0.4108533,Right,0.8006165,0.1698222,0.1204391
6,Left,0.757678,0.1590176,0.410852,Right,0.8006579,0.169548,0.1204143
7,Left,0.7578224,0.1591778,0.4108954,Right,0.8006505,0.1697335,0.1204959
8,Left,0.7577035,0.1591208,0.4107782,Right,0.8004143,0.1693687,0.1203458
9,Left,0.7576915,0.1591082,0.4106831,Right,0.8005024,0.1694825,0.1203872
10,Left,0.7578398,0.1594353,0.4107977,Right,0.8007004,0.1695638,0.1204712
11,Left,0.7578996,0.1595967,0.4107242,Right,0.8007205,0.1696458,0.1204435
12,Left,0.7577233,0.1593668,0.4105977,Right,0.8006228,0.1694508,0.1203966
13,Left,0.7578442,0.1595707,0.4106692,Right,0.8007452,0.1696126,0.1205218
14,Left,0.7577266,0.1595984,0.4105646,Right,0.8006982,0.1696658,0.1207497
15,Left,0.7578923,0.1596792,0.4106944,Right,0.8006895,0.1696002,0.1204816
16,Left,0.7579257,0.1597493,0.4107181,Right,0.8007423,0.1695271,0.1206265
17,Left,0.7577766,0.1596189,0.4105113,Right,0.8005427,0.1694202,0.1204101
18,Left,0.7580535,0.1596029,0.4105375,Right,0.8007442,0.1692896,0.1204663
19,Left,0.7578795,0.1597366,0.4105963,Right,0.8006124,0.1694775,0.1204973
20,Left,0.7579989,0.1599033,0.4105467,Right,0.8006917,0.1696501,0.1206085
