ikeda
blendRateL,0,blendRateR,0
1,Left,-0.04726952,0.5825638,0.1185843,Right,0.1711931,0.5646772,0.2009917
2,Left,-0.05854064,0.6307728,0.173273,Right,0.1918655,0.6222243,0.2553413
3,Left,-0.0578157,0.6540624,0.1848276,Right,0.1921316,0.6433046,0.270787
4,Left,-0.05393188,0.5546594,0.120268,Right,0.167927,0.5396878,0.2224018
5,Left,-0.05025601,0.5605043,0.1244506,Right,0.1606608,0.5455256,0.2288682
blendRateL,0,blendRateR,0
1,Left,-0.05166841,0.5485241,0.1070394,Right,0.1684487,0.5387093,0.2118761
2,Left,-0.07905397,0.8229263,0.2067766,Right,0.1967845,0.7995212,0.2910895
3,Left,-0.05197468,0.6936536,0.2164454,Right,0.19208,0.6804644,0.2828052
4,Left,-0.06452513,0.780781,0.2072592,Right,0.180551,0.755448,0.2853872
5,Left,-0.05403024,0.7746472,0.209869,Right,0.1804926,0.7516277,0.2912605
blendRateL,0.25,blendRateR,0
1,Left,-0.0536132,0.5708455,0.1438615,Right,0.1797518,0.5413406,0.2164045
2,Left,-0.0504266,0.7488705,0.2047402,Right,0.179852,0.7280198,0.2931522
3,Left,-0.06905612,0.6419581,0.2213287,Right,0.1977069,0.6249295,0.2673218
4,Left,-0.05202541,0.7008268,0.2214326,Right,0.1950078,0.6742409,0.2794197
5,Left,-0.04824924,0.7005893,0.2138776,Right,0.1891575,0.7020311,0.2851751
blendRateL,0.5,blendRateR,0
1,Left,-0.1835245,0.5824913,0.1693682,Right,0.1893258,0.5797112,0.1930212
2,Left,-0.1923199,0.7563829,0.2671404,Right,0.1747071,0.7127463,0.273532
3,Left,-0.1527815,0.7354765,0.2730268,Right,0.1969355,0.7190036,0.2651055
4,Left,-0.1541471,0.7419052,0.2603791,Right,0.1815876,0.7220814,0.2674233
5,Left,-0.1872061,0.7536523,0.2269895,Right,0.185553,0.7062806,0.2426926
blendRateL,0.75,blendRateR,0
1,Left,-0.1719439,0.5460397,0.1618581,Right,0.1895899,0.5509964,0.1648491
2,Left,-0.1600813,0.7609128,0.261754,Right,0.1979306,0.7515606,0.2580935
3,Left,-0.1636683,0.7621605,0.2589234,Right,0.1762647,0.7582557,0.2597817
4,Left,-0.1602378,0.7503006,0.2384903,Right,0.1728126,0.764515,0.2444904
5,Left,-0.1553375,0.7137312,0.228086,Right,0.173533,0.7099415,0.235785
blendRateL,1,blendRateR,0
1,Left,-0.169536,0.5614187,0.1502607,Right,0.1940377,0.5650171,0.1761015
2,Left,-0.1973474,0.7487689,0.2339765,Right,0.1827365,0.7522396,0.2547122
3,Left,-0.1739527,0.7181844,0.2155533,Right,0.1684689,0.7034864,0.2279987
4,Left,-0.1632983,0.6700865,0.2147179,Right,0.1861207,0.6493796,0.2150605
5,Left,-0.1727966,0.6813089,0.2063295,Right,0.179478,0.6583447,0.2111232
blendRateL,0,blendRateR,0.25
1,Left,-0.1687507,0.554415,0.1661417,Right,0.1916419,0.5517519,0.1759966
2,Left,-0.1728153,0.7583399,0.2520798,Right,0.1846114,0.735613,0.2543633
3,Left,-0.1684046,0.738423,0.2234341,Right,0.1749128,0.7138685,0.2381727
4,Left,-0.1596055,0.7069075,0.2180854,Right,0.1700023,0.7014141,0.2348062
5,Left,-0.1510554,0.7047822,0.2086413,Right,0.1701683,0.6867841,0.2235925
blendRateL,0,blendRateR,0.5
1,Left,-0.1664873,0.5444037,0.1522363,Right,0.1904099,0.5408838,0.1800109
2,Left,-0.1988091,0.6198916,0.2157023,Right,0.1978275,0.613283,0.233212
3,Left,-0.1659689,0.6361624,0.2228977,Right,0.1996845,0.6165038,0.2263515
4,Left,-0.1455508,0.6291348,0.2038164,Right,0.1928379,0.6096029,0.1989735
5,Left,-0.1590376,0.6823257,0.1749344,Right,0.172657,0.66067,0.18314
blendRateL,0,blendRateR,0.75
1,Left,-0.1704254,0.5511932,0.1588452,Right,0.1978552,0.5433518,0.1947436
2,Left,-0.1624979,0.7474611,0.2055248,Right,0.1974688,0.7069532,0.2369705
3,Left,-0.1702253,0.6856347,0.1826215,Right,0.1928777,0.6463838,0.2050396
4,Left,-0.1609585,0.6947836,0.1606589,Right,0.2080173,0.6475992,0.1861584
5,Left,-0.1654392,0.6920239,0.1651372,Right,0.1947878,0.6557544,0.1935609
blendRateL,0,blendRateR,1
1,Left,-0.1750933,0.5432392,0.162802,Right,0.2200783,0.5339942,0.1944349
2,Left,-0.1704664,0.7374607,0.2207396,Right,0.1934377,0.7000904,0.2389796
3,Left,-0.1704235,0.7184318,0.2063254,Right,0.1800565,0.6809059,0.2252914
4,Left,-0.1891787,0.7088249,0.2003622,Right,0.2080956,0.6674018,0.2184184
5,Left,-0.1740594,0.6958479,0.1866573,Right,0.1881783,0.6534861,0.2234899
