aaa
blendRateL,0,blendRateR,0
Left,-0.05628513,-0.02796888,0.9229102,Right,0.3059835,-0.02288413,0.8906348
Left,-0.05621578,-0.02792954,0.9228793,Right,0.3059555,-0.02288485,0.8906339
Left,-0.05620866,-0.02792311,0.9228806,Right,0.3059933,-0.02289534,0.8905886
Left,-0.05620177,-0.02792859,0.9228894,Right,0.3059986,-0.02291465,0.8906226
Left,-0.05614619,-0.02795935,0.9228736,Right,0.3059631,-0.02292562,0.8906339
Left,-0.05616654,-0.02799249,0.9228402,Right,0.3060219,-0.02292061,0.8905545
Left,-0.05613185,-0.02800655,0.9228378,Right,0.3060263,-0.02291417,0.8905668
Left,-0.05609532,-0.02804542,0.9227689,Right,0.3060242,-0.02292013,0.8905721
Left,-0.05607374,-0.02792001,0.9221069,Right,0.3060459,-0.02292347,0.8905533
Left,-0.05615799,-0.02803445,0.9215134,Right,0.3061206,-0.02289438,0.8904812
Left,-0.0562468,-0.02795506,0.9209417,Right,0.3060979,-0.02287126,0.8904266
Left,-0.05621009,-0.02794361,0.9205584,Right,0.3061495,-0.0227704,0.8904102
Left,-0.05610381,-0.02788472,0.9200607,Right,0.3059865,-0.02278519,0.8900935
Left,-0.05594306,-0.02806258,0.9195731,Right,0.3062038,-0.02276587,0.8900252
Left,-0.05601226,-0.0281148,0.9197257,Right,0.3063154,-0.02275467,0.8899072
Left,-0.05627836,-0.02944541,0.9225612,Right,0.306161,-0.02267218,0.8901237
Left,-0.05679469,-0.02702451,0.9262725,Right,0.3061276,-0.02267623,0.8902908
Left,-0.05642681,-0.02790976,0.9285471,Right,0.3063182,-0.02265286,0.8905078
Left,-0.05601139,-0.02797556,0.9296721,Right,0.3061383,-0.02261162,0.8907095
Left,-0.05621754,-0.02803373,0.9293253,Right,0.3058704,-0.02277875,0.8909569
Left,-0.05638625,-0.02793431,0.9298633,Right,0.3060967,-0.02284479,0.8911809
